antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"in_stock:yes, price:high",country:US,0.068,0.4697,0.0606,0.8919,1.8989,1.0,0.0287,4.9055,0.5079,0.1271,0.7961,0.5105
price:high,"country:US, in_stock:yes",0.0882,0.3229,0.0606,0.6875,2.129,1.0,0.0322,2.1667,0.5816,0.173,0.5385,0.4377
country:LT,"in_stock:yes, price:mid",0.1313,0.5492,0.1276,0.972,1.7698,1.0,0.0555,16.0991,0.5007,0.2308,0.9379,0.6022
store:burga,country:LT,0.1313,0.1313,0.1313,1.0,7.618,1.0,0.114,999.0,1.0,1.0,1.0,1.0
country:LT,store:burga,0.1313,0.1313,0.1313,1.0,7.618,1.0,0.114,999.0,1.0,1.0,1.0,1.0
"in_stock:yes, store:burga",country:LT,0.131,0.1313,0.131,1.0,7.618,1.0,0.1138,999.0,0.9997,0.998,1.0,0.999
"country:LT, in_stock:yes",store:burga,0.131,0.1313,0.131,1.0,7.618,1.0,0.1138,999.0,0.9997,0.998,1.0,0.999
store:burga,"country:LT, in_stock:yes",0.1313,0.131,0.131,0.998,7.618,1.0,0.1138,434.4972,1.0,0.998,0.9977,0.999
country:LT,"in_stock:yes, store:burga",0.1313,0.131,0.131,0.998,7.618,1.0,0.1138,434.4972,1.0,0.998,0.9977,0.999
"price:mid, store:burga",country:LT,0.1276,0.1313,0.1276,1.0,7.618,1.0,0.1108,999.0,0.9958,0.972,1.0,0.986
"country:LT, price:mid",store:burga,0.1276,0.1313,0.1276,1.0,7.618,1.0,0.1108,999.0,0.9958,0.972,1.0,0.986
store:burga,"country:LT, price:mid",0.1313,0.1276,0.1276,0.972,7.618,1.0,0.1108,31.1574,1.0,0.972,0.9679,0.986
country:LT,"price:mid, store:burga",0.1313,0.1276,0.1276,0.972,7.618,1.0,0.1108,31.1574,1.0,0.972,0.9679,0.986
store:burga,"in_stock:yes, price:mid",0.1313,0.5492,0.1276,0.972,1.7698,1.0,0.0555,16.0991,0.5007,0.2308,0.9379,0.6022
"in_stock:yes, price:mid, store:burga",country:LT,0.1276,0.1313,0.1276,1.0,7.618,1.0,0.1108,999.0,0.9958,0.972,1.0,0.986
"country:LT, in_stock:yes, price:mid",store:burga,0.1276,0.1313,0.1276,1.0,7.618,1.0,0.1108,999.0,0.9958,0.972,1.0,0.986
"in_stock:yes, store:burga","country:LT, price:mid",0.131,0.1276,0.1276,0.9739,7.6333,1.0,0.1109,33.487,1.0,0.9739,0.9701,0.987
